country_code,country_name,region_code,incomegroup_code,dd_code
AFG,Afghanistan,MEA,LIC,PRE
ALB,Albania,ECS,UMC,LTE
DZA,Algeria,MEA,UMC,EAR
ASM,American Samoa,EAS,HIC,
AND,Andorra,ECS,HIC,
AGO,Angola,SSF,LMC,PRE
ATG,Antigua and Barbuda,LCN,HIC,PST
ARG,Argentina,LCN,UMC,EAR
ARM,Armenia,ECS,UMC,LTE
ABW,Aruba,LCN,HIC,LTE
AUS,Australia,EAS,HIC,PST
AUT,Austria,ECS,HIC,PST
AZE,Azerbaijan,ECS,UMC,LTE
BHS,The Bahamas,LCN,HIC,LTE
BHR,Bahrain,MEA,HIC,EAR
BGD,Bangladesh,SAS,LMC,EAR
BRB,Barbados,LCN,HIC,PST
BLR,Belarus,ECS,UMC,PST
BEL,Belgium,ECS,HIC,PST
BLZ,Belize,LCN,UMC,EAR
BEN,Benin,SSF,LMC,PRE
BMU,Bermuda,NAC,HIC,
BTN,Bhutan,SAS,LMC,EAR
BOL,Bolivia,LCN,LMC,EAR
BIH,Bosnia and Herzegovina,ECS,UMC,PST
BWA,Botswana,SSF,UMC,EAR
BRA,Brazil,LCN,UMC,LTE
VGB,British Virgin Islands,LCN,HIC,
BRN,Brunei Darussalam,EAS,HIC,LTE
BGR,Bulgaria,ECS,HIC,PST
BFA,Burkina Faso,SSF,LIC,PRE
BDI,Burundi,SSF,LIC,PRE
CPV,Cabo Verde,SSF,UMC,EAR
KHM,Cambodia,EAS,LMC,EAR
CMR,Cameroon,SSF,LMC,PRE
CAN,Canada,NAC,HIC,PST
CYM,Cayman Islands,LCN,HIC,
CAF,Central African Republic,SSF,LIC,PRE
TCD,Chad,SSF,LIC,PRE
CHI,Channel Islands,ECS,HIC,
CHL,Chile,LCN,HIC,LTE
CHN,China,EAS,UMC,LTE
COL,Colombia,LCN,UMC,LTE
COM,Comoros,SSF,LMC,PRE
COD,DR Congo,SSF,LIC,PRE
COG,Congo,SSF,LMC,PRE
CRI,Costa Rica,LCN,HIC,LTE
CIV,Cote d Ivoire,SSF,LMC,PRE
HRV,Croatia,ECS,HIC,PST
CUB,Cuba,LCN,UMC,PST
CUW,Curacao,LCN,HIC,
CYP,Cyprus,ECS,HIC,LTE
CZE,Czechia,ECS,HIC,PST
DNK,Denmark,ECS,HIC,PST
DJI,Djibouti,MEA,LMC,EAR
DMA,Dominica,LCN,UMC,
DOM,Dominican Republic,LCN,UMC,EAR
ECU,Ecuador,LCN,UMC,EAR
EGY,Egypt,MEA,LMC,EAR
SLV,El Salvador,LCN,UMC,EAR
GNQ,Equatorial Guinea,SSF,UMC,PRE
ERI,Eritrea,SSF,LIC,PRE
